scenario_key,protection_reason,economic_meaning,scenario_source,portfolio,source_from_date,source_thru_date,story_from_date,story_thru_date,scenario_family,primary_security,expected_report_disposition,expected_period_status,independent_change_id,source_period_independent_changes,carry_forward_status
transaction:ALPHA0203:Withdrawal correction increases external cash outflow.,Intentional demo scenario; removal requires explicit inventory review.,A withdrawal correction changes external cash flow and its Modified Dietz denominator.,transaction,ALPHA,2026-01-01,2026-01-30,2026-01-01,2026-01-30,external_cash_flow,CASHUSD,review_evidence,Fully Explained,alpha-jan-withdrawal,2,originating_change
transaction:BALANCED_JPM_WHT:JPM withholding correction increases separate tax expense.,Intentional demo scenario; removal requires explicit inventory review.,A separate contextual withholding row changes after-tax cash and net performance.,transaction,BALANCED,2026-04-01,2026-04-10,2026-04-01,2026-04-10,withholding_expense,JPM,counted_cause,Fully Explained,balanced-apr-jpm-dividend,1,originating_change
multicurrency:BALANCED:SAP.DE:2026-04-15:EUR dividend correction,Intentional demo scenario; removal requires explicit inventory review.,A SAP.DE EUR dividend correction changes EUR cash and base value.,multicurrency,BALANCED,2026-04-11,2026-04-16,2026-04-11,2026-04-16,multicurrency_dividend,SAP.DE,counted_cause,Fully Explained,balanced-apr-sap-eur-dividend,1,originating_change
transaction:BALANCED0503:JPM return-of-capital row adds security-level cash income.,Intentional demo scenario; removal requires explicit inventory review.,A JPM return-of-capital row changes security-level cash income.,transaction,BALANCED,2026-04-17,2026-04-24,2026-04-17,2026-04-24,return_of_capital,JPM,counted_cause,Fully Explained,balanced-apr-jpm-return-capital,1,originating_change
multicurrency:BALANCED:SHEL.L:2026-04-30:GBP FX correction,Intentional demo scenario; removal requires explicit inventory review.,A GBP to USD FX correction changes SHEL.L base market value.,multicurrency,BALANCED,2026-04-25,2026-04-30,2026-04-25,2026-04-30,multicurrency_fx,SHEL.L,counted_cause,Fully Explained,balanced-apr-shell-gbp-fx,1,originating_change
holding:BALANCED:AAPL:2026-03-31:AAPL price correction changes ending market value.,Intentional demo scenario; removal requires explicit inventory review.,An AAPL price correction changes ending market value.,holding,BALANCED,2026-02-28,2026-03-31,2026-02-28,2026-03-31,valuation_mark,AAPL,counted_cause,Fully Explained,balanced-mar-aapl-mark,2,originating_change
transaction:BALANCED_TI_20260320:JPM deliver-in correction increases externally delivered quantity and value.,Intentional demo scenario; removal requires explicit inventory review.,A site-scoped ti correction changes externally delivered JPM quantity and value.,transaction,BALANCED,2026-02-28,2026-03-31,2026-02-28,2026-03-31,security_deliver_in,JPM,counted_cause,Fully Explained,balanced-mar-jpm-deliver-in,2,originating_change
holding:BALANCED:CVNA:2026-05-08:CVNA 5-for-1 split correction changes ending quantity and market value.,Intentional demo scenario; removal requires explicit inventory review.,A CVNA split correction changes quantity and market value.,holding,BALANCED,2026-05-01,2026-05-08,2026-05-01,2026-05-08,split_correction,CVNA,counted_cause,Fully Explained,balanced-may-cvna-split,1,originating_change
holding:BALANCED:MSFT:2026-05-14:MSFT holding quantity correction changes market value.,Intentional demo scenario; removal requires explicit inventory review.,An MSFT holding correction changes quantity and market value.,holding,BALANCED,2026-05-09,2026-05-14,2026-05-09,2026-05-14,quantity_valuation_correction,MSFT,counted_cause,Partly Explained,balanced-may-msft-holding,2,originating_change
transaction:BALANCED0605:JPM code-only return-of-capital row remains neutral possible-cause evidence.,Intentional demo scenario; removal requires explicit inventory review.,A neutral JPM transaction remains visible as possible-cause evidence.,transaction,BALANCED,2026-05-09,2026-05-14,2026-05-09,2026-05-14,possible_cause_transaction,JPM,review_evidence,Partly Explained,balanced-may-jpm-neutral-transaction,2,originating_change
transaction:BALANCED0603:TSLA short sale uses real 2026-05-15 close price in a synthetic short-side demo.,Intentional demo scenario; removal requires explicit inventory review.,The short-sale leg is review evidence in one paired short-side story.,transaction,BALANCED,2026-05-15,2026-05-29,2026-05-15,2026-05-29,short_side_trade,TSLA,review_evidence,Fully Explained,balanced-may-tsla-short-cycle,1,originating_change
transaction:BALANCED0604:TSLA cover short uses real 2026-05-29 close price in a synthetic short-side demo.,Intentional demo scenario; removal requires explicit inventory review.,The cover leg is review evidence in one paired short-side story.,transaction,BALANCED,2026-05-15,2026-05-29,2026-05-15,2026-05-29,short_side_trade,TSLA,review_evidence,Fully Explained,balanced-may-tsla-short-cycle,1,originating_change
transaction:INCOME0203:Fee correction increases cash expense.,Intentional demo scenario; removal requires explicit inventory review.,A fee correction increases USD cash expense.,transaction,INCOME,2026-01-01,2026-01-30,2026-01-01,2026-01-30,fee_expense,CASHUSD,counted_cause,Fully Explained,income-jan-fee,2,originating_change
transaction:INCOME_AI_20260122:Margin-interest correction increases financing expense.,Intentional demo scenario; removal requires explicit inventory review.,A contextual ai correction increases financing expense and reduces cash.,transaction,INCOME,2026-01-01,2026-01-30,2026-01-01,2026-01-30,margin_interest,CASHUSD,counted_cause,Fully Explained,income-jan-margin-interest,2,originating_change
transaction:INCOME0303:91282Y5Y1 purchase leg paired with purchase accrued interest.,Intentional demo scenario; removal requires explicit inventory review.,The purchase leg belongs to one fixed-income accrued-interest settlement.,transaction,INCOME,2026-01-31,2026-02-13,2026-01-31,2026-02-13,fixed_income_accrual,91282Y5Y1,counted_cause,Fully Explained,income-feb-bond-purchase-accrual,1,originating_change
transaction:INCOME0304:91282Y5Y1 purchase accrued interest settlement.,Intentional demo scenario; removal requires explicit inventory review.,The accrued-interest leg belongs to one fixed-income purchase settlement.,transaction,INCOME,2026-01-31,2026-02-13,2026-01-31,2026-02-13,fixed_income_accrual,91282Y5Y1,counted_cause,Fully Explained,income-feb-bond-purchase-accrual,1,originating_change
transaction:INCOME0305:91282Y5Y1 sale leg paired with sale accrued interest.,Intentional demo scenario; removal requires explicit inventory review.,The sale leg belongs to one fixed-income accrued-interest settlement.,transaction,INCOME,2026-02-14,2026-02-27,2026-02-14,2026-02-27,fixed_income_accrual,91282Y5Y1,counted_cause,Fully Explained,income-feb-bond-sale-accrual,1,originating_change
transaction:INCOME0306:91282Y5Y1 sale accrued interest settlement.,Intentional demo scenario; removal requires explicit inventory review.,The accrued-interest leg belongs to one fixed-income sale settlement.,transaction,INCOME,2026-02-14,2026-02-27,2026-02-14,2026-02-27,fixed_income_accrual,91282Y5Y1,counted_cause,Fully Explained,income-feb-bond-sale-accrual,1,originating_change
holding:INCOME:91282Y5Y1:2026-04-30:91282Y5Y1 cost-only correction remains review evidence.,Intentional demo scenario; removal requires explicit inventory review.,A cost-only holding correction stays in maintainer fixtures and cannot become a Modified Dietz cause.,holding,INCOME,2026-04-01,2026-04-30,2026-04-01,2026-04-30,cost_only_context,91282Y5Y1,fixture_only_context,Unexplained,income-apr-bond-cost-context,1,originating_change
holding:INCOME:AAPL:2026-05-08:AAPL price correction changes ending market value.,Intentional demo scenario; removal requires explicit inventory review.,An AAPL price correction changes ending market value.,holding,INCOME,2026-05-01,2026-05-08,2026-05-01,2026-05-08,valuation_mark,AAPL,counted_cause,Fully Explained,income-may-aapl-mark,1,originating_change
transaction:INCOME0606:AAPL dividend corrected to real 2026-05-14 payable date.,Intentional demo scenario; removal requires explicit inventory review.,An AAPL dividend is inserted on its corrected payable date.,transaction,INCOME,2026-05-09,2026-05-14,2026-05-09,2026-05-14,missed_late_dividend,AAPL,counted_cause,Fully Explained,income-may-aapl-dividend-date,1,originating_change
transaction:INCOME0607:AAPL reinvestment purchase matches the corrected dividend.,Intentional demo scenario; removal requires explicit inventory review.,A matched dvwash purchase reinvests the corrected AAPL dividend without external cash flow.,transaction,INCOME,2026-05-09,2026-05-14,2026-05-09,2026-05-14,dividend_reinvestment,AAPL,counted_cause,Fully Explained,income-may-aapl-dividend-date,1,originating_change
holding:INCOME:91282Y2Y1:2026-05-15:91282Y2Y1 interest and accrual correction changes ending holding.,Intentional demo scenario; removal requires explicit inventory review.,A holding correction and its interest transaction form one accrual story.,holding,INCOME,2026-05-15,2026-05-15,2026-05-15,2026-05-15,accrual_correction,91282Y2Y1,counted_cause,Fully Explained,income-may-interest-accrual,1,originating_change
transaction:INCOME0603:91282Y2Y1 interest correction increases cash income.,Intentional demo scenario; removal requires explicit inventory review.,An interest transaction and its holding correction form one accrual story.,transaction,INCOME,2026-05-15,2026-05-15,2026-05-15,2026-05-15,income_correction,91282Y2Y1,counted_cause,Fully Explained,income-may-interest-accrual,1,originating_change
transaction:INCOME0605:36225MBS1 principal paydown returns mortgage principal to cash.,Intentional demo scenario; removal requires explicit inventory review.,A mortgage principal paydown returns principal to cash.,transaction,INCOME,2026-05-16,2026-05-22,2026-05-16,2026-05-22,principal_paydown,36225MBS1,counted_cause,Fully Explained,income-may-principal-paydown,1,originating_change
transaction:INCOME0604:AAPL late dividend row is removed from corrected snapshot.,Intentional demo scenario; removal requires explicit inventory review.,The late AAPL dividend row is removed from the corrected snapshot.,transaction,INCOME,2026-05-23,2026-05-29,2026-05-23,2026-05-29,missed_late_dividend,AAPL,counted_cause,Fully Explained,income-may-aapl-dividend-date,1,originating_change
